Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
  0.00     15.61     0.00    81084     0.00     0.00  cv::Mat::~Mat()
  0.00     15.61     0.00    63063     0.00     0.00  cv::Size_<int>::Size_(int, int)
  0.00     15.61     0.00    45045     0.00     0.00  cv::Mat::MSize::operator()() const
  0.00     15.61     0.00    36039     0.00     0.00  cv::Mat::MSize::MSize(int*)
  0.00     15.61     0.00    36039     0.00     0.00  cv::Mat::MStep::MStep()
  0.00     15.61     0.00    36036     0.00     0.00  cv::Mat::operator=(cv::Mat const&)
  0.00     15.61     0.00    18021     0.00     0.00  cv::Mat::Mat()
  0.00     15.61     0.00    18018     0.00     0.00  cv::Mat::operator()(cv::Range, cv::Range) const
  0.00     15.61     0.00        1     0.00     0.00  _GLOBAL__sub_I_main
  0.00     15.61     0.00        1     0.00     0.00  __static_initialization_and_destruction_0(int, int)

 %         the percentage of the total running time of the
time       program used by this function.

cumulative a running sum of the number of seconds accounted
 seconds   for by this function and those listed above it.

 self      the number of seconds accounted for by this
seconds    function alone.  This is the major sort for this
           listing.

calls      the number of times this function was invoked, if
           this function is profiled, else blank.
 
 self      the average number of milliseconds spent in this
ms/call    function per call, if this function is profiled,
	   else blank.

 total     the average number of milliseconds spent in this
ms/call    function and its descendents per call, if this 
	   function is profiled, else blank.

name       the name of the function.  This is the minor sort
           for this listing. The index shows the location of
	   the function in the gprof listing. If the index is
	   in parenthesis it shows where it would appear in
	   the gprof listing if it were to be printed.

		     Call graph (explanation follows)


granularity: each sample hit covers 2 byte(s) for 0.06% of 15.61 seconds

index % time    self  children    called     name
                                                 <spontaneous>
[1]     65.7   10.26    0.00                 chord(unsigned char const*, int, int, int, int, int, bool) [1]
-----------------------------------------------
                                                 <spontaneous>
[2]     13.0    2.03    0.00                 matchFindFiducials(cv::Mat, cv::Mat, int, cv::Point_<int>*, int) [2]
                0.00    0.00   18018/45045       cv::Mat::MSize::operator()() const [158]
                0.00    0.00    9009/18021       cv::Mat::Mat() [162]
                0.00    0.00    9009/81084       cv::Mat::~Mat() [156]
-----------------------------------------------
                                                 <spontaneous>
[3]      4.5    0.70    0.00                 float& cv::Mat::at<float>(int, int) [3]
-----------------------------------------------
                                                 <spontaneous>
[4]      2.0    0.32    0.00                 cv::Size_<int>::operator=(cv::Size_<int> const&) [4]
-----------------------------------------------
                                                 <spontaneous>
[5]      0.6    0.10    0.00                 matchKernel(cv::_OutputArray const&) [5]
                0.00    0.00   27027/81084       cv::Mat::~Mat() [156]
                0.00    0.00   18018/45045       cv::Mat::MSize::operator()() const [158]
                0.00    0.00    9009/18021       cv::Mat::Mat() [162]
                0.00    0.00    9009/36036       cv::Mat::operator=(cv::Mat const&) [161]
-----------------------------------------------
                                                 <spontaneous>
[6]      0.6    0.09    0.00                 std::vector<char, std::allocator<char> >::_M_insert_aux(__gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >, char const&) [6]
-----------------------------------------------
                                                 <spontaneous>
[7]      0.5    0.08    0.00                 std::vector<int, std::allocator<int> >::push_back(int const&) [7]
-----------------------------------------------
                                                 <spontaneous>
