Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
[16]     0.2    0.03    0.00                 int* std::__uninitialized_copy<true>::__uninit_copy<int*, int*>(int*, int*, int*) [16]
-----------------------------------------------
                                                 <spontaneous>
[17]     0.2    0.03    0.00                 std::vector<char, std::allocator<char> >::_M_check_len(unsigned long, char const*) const [17]
-----------------------------------------------
                                                 <spontaneous>
[18]     0.2    0.03    0.00                 std::_Iter_base<char*, false>::_S_base(char*) [18]
-----------------------------------------------
                                                 <spontaneous>
[19]     0.2    0.03    0.00                 std::_Vector_base<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > >::~_Vector_base() [19]
-----------------------------------------------
                0.01    0.00  172172/593596      cv::Mat::operator=(cv::Mat const&) [130]
                0.01    0.00  421424/593596      cv::Mat::~Mat() [53]
[20]     0.2    0.02    0.00  593596         cv::Mat::release() [20]
-----------------------------------------------
                                                 <spontaneous>
[21]     0.2    0.02    0.00                 cv::Vec<double, 4>::operator[](int) [21]
-----------------------------------------------
                                                 <spontaneous>
[22]     0.2    0.02    0.00                 __gnu_cxx::new_allocator<int>::deallocate(int*, unsigned long) [22]
-----------------------------------------------
                                                 <spontaneous>
[23]     0.2    0.02    0.00                 __gnu_cxx::__normal_iterator<std::vector<int, std::allocator<int> >*, std::vector<std::vector<int, std::allocator<int> >, std::allocator<std::vector<int, std::allocator<int> > > > >::__normal_iterator(std::vector<int, std::allocator<int> >* const&) [23]
-----------------------------------------------
                                                 <spontaneous>
[24]     0.2    0.02    0.00                 __gnu_cxx::__normal_iterator<char*, std::vector<char, std::allocator<char> > >::__normal_iterator(char* const&) [24]
-----------------------------------------------
                                                 <spontaneous>
[25]     0.2    0.02    0.00                 __gnu_cxx::new_allocator<int>::max_size() const [25]
-----------------------------------------------
                                                 <spontaneous>
[26]     0.2    0.02    0.00                 __gnu_cxx::__normal_iterator<std::vector<char, std::allocator<char> >*, std::vector<std::vector<char, std::allocator<char> >, std::allocator<std::vector<char, std::allocator<char> > > > >::operator-(long const&) const [26]
-----------------------------------------------
                                                 <spontaneous>
[27]     0.2    0.02    0.00                 std::vector<int, std::allocator<int> >::max_size() const [27]
-----------------------------------------------
                                                 <spontaneous>
[28]     0.2    0.02    0.00                 std::allocator<int>::~allocator() [28]
-----------------------------------------------
